,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
56,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Brick Street Bakery,698,43.650574039683974,-79.35953942981405,Bakery
57,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Omni King Edward Hotel,684,43.64919051601911,-79.37600612640387,Hotel
58,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Goose Island Brewhouse,635,43.64732926809359,-79.37354117631912,Beer Bar
59,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Beerbistro,769,43.64941904378835,-79.37723726034164,Gastropub
60,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Elgin And Winter Garden Theatres,863,43.653393796019586,-79.3785073962175,Theater
61,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Spotify,765,43.64991916262922,-79.35886149447444,Tech Startup
62,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,SOMA chocolatemaker,810,43.65062222570758,-79.35812684032683,Chocolate Shop
63,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Sukhothai,799,43.658444465539525,-79.36568085121628,Thai Restaurant
64,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Richmond Station,897,43.65156872562108,-79.37926594000328,American Restaurant
65,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Dog Fountain,700,43.64799795147863,-79.37536096948996,Fountain
66,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Young Centre for the Performing Arts,850,43.65082466432163,-79.35759324240415,Performing Arts Venue
67,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Dineen Coffee,864,43.650497,-79.378765,Café
68,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,The Poké Box,669,43.65046931503178,-79.37631703952829,Poke Place
69,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Hockey Hall Of Fame (Hockey Hall of Fame),895,43.646974451431056,-79.37732323942681,Museum
70,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Cluny Bistro & Boulangerie,833,43.650565116074695,-79.35784287026658,French Restaurant
71,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Mos Mos Coffee,932,43.64815919753501,-79.37874450467258,Café
72,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,Page One Cafe,949,43.65777161112601,-79.3760725691681,Café
73,"#1409 - 230 King St Toronto, ON",43.651478000000004,-79.36811800000001,St. James Park,357,43.6504248002309,-79.3723109702051,Park
